Word,Meaning
mausoleum,monumental tomb; large stately tomb; CF. Mausolos
mauve,pale purple
maverick,rebel; nonconformist (in a group)
mawkish,mushy(sentimental) and gushy; icky-sticky sentimental; excessively and objectionably sentimental
maxim,proverb; truth pithily stated
mayhem,injury to body; crime of willfully  maiming or crippling a person;
meager,scanty; inadequate
mealymouthed,indirect in speech (when something unpleasant must be said);
meander,wind or turn in its course; follow a winding or turning course; move
meddlesome,interfering; V. meddle: interfere
mediate,settle a dispute through the services of an outsider; act as an
mediocre,ordinary; commonplace; neither good nor bad
meditation,reflection; thought; V. meditate
medium,element that is a creature's natural environment; nutrient setting in which microorganisms are cultivated; appropriate occupation or means of expression; channel of communication; compromise; middle position between extremes; intervening substan
medley,mixture
meek,submissive; patient and long-suffering
megalomania,"mania for doing grandiose things; mental disorder characterized by delusions of wealth, power, or importance"
melancholy,gloomy; morose; blue; N.  ADJ. melancholic; CF. melancholia
melee,fight
mellifluous,(of words or a voice) sweetly or smoothly flowing; melodious; having a pleasant tune
memento,token; reminder of the past; keepsake; Ex. memento of your visit
memoir,memoirs; autobiography; biography
memorial,"something, such as a monument or  holiday, intended to honor the"
memorialize,commemorate
menace,threat; V: threaten
menagerie,collection of wild  animals on exhibition; zoo
mendacious,lying; habitually dishonest; N. mendacity
mendicant,beggar; ADJ: living as a beggar
menial,suitable for servants; lowly; mean; N: someone who does menial work (esp. servant in a house)
mentor,counselor; teacher
mercantile,concerning trade or merchants
mercenary,motivated solely by money or gain; N.
mercurial,capricious; quick and changing; fickle; containing the element mercury; Ex. mercurial temper; CF. mood
meretricious,flashy; tawdry; attractive on the surface but of no real value; Ex. metericious argument/jewel; CF. prostitute
merger,combination (of two busi ness corporations); act of merging
merit,deserve; ADJ. meritoriou s: deserving reward or praise
mesmerize,hypnotize; N. mesmerism; CF. Franz Mesmer
metallurgical,pertaining to the art of removing metals from ores; N. metallurgy:
metamorphosis,change of form; Ex. metamorphosis of caterpillar to butterfly; V.
metaphor,implied comparison; CF. simile
metaphysical,pertaining to speculative phil osophy; of metaphysics; N.
mete,measure; distribute; administ er; Ex. mete out justice/punishment
meteoric,like a meteor; swift; momentarily bri lliant; Ex. meteoric rise to fame;
meter,arrangement of words in the form of poetry (by accentual rhythm)
methodical,systematic; N. method: systematic method of procedure
meticulous,excessively careful (with great atte ntion to detail); painstaking;
metrical,metric; written in the form of poetry; Ex. metrical translation of Homer
metropolis,large city
mettle,courage (to continue bravely in spite of difficulties); spirit; ADJ. mettlesome
miasma,swamp gas; heavy vaporous atmosphere often emanating from deca
microcosm,small representative world; worl d in miniature; Ex. microcosm of
migrant,changing its habitat; wandering; Ex. migrant birds/workers; N: one
migratory,wandering; V. migrate: move from one region and settle in another; move periodically from one region to another
milieu,social environment; means of expression; Ex. feel out of one's milieu;
militant,combative; bellicose; N.
militate,work against; Ex. militate against the chances of promotion; CF.
militia,army composed of ordinary citi zens rather than professional soldiers
millennium,thousand-year period (as in the Ne w Testament); hoped-for period of
mime,pantomime(act without dialogue);  mimicry; mime r; V: mimic;
mimicry,imitation
minatory,menacing; threatening
mincing,affectedly dainty(delicate); V. mince: cut (esp. meat) into very small
mingle,mix together in close association
miniature,small model; sm all painting; ADJ: small
minion,servile dependent; obsequious follower
minute,extremely small; CF. minutes: offici al record of the proceedings at a
minutiae,petty or trivial details; CF. minutia
mirage,unreal reflection; optical illusion
mire,entangle; stick in swampy ground; stick or sink in mire; N: bog; deep mud; Ex. sucked deeper into the mire
mirth,merriment; laughter
misadventure,mischance; ill luck; Ex. death by misadventure
misanthrope,one who hates mankind; misanthropist
misapprehension,error; misunderstanding; V. misapprehend
miscellaneous,made up of a variety of parts
miscellany,mixture of writings on vari ous subjects; collection of various items
mischance,ill luck
mischief,behavior (of children) causin g trouble with no serious harm; dama ge;
misconduct,immoral behavior; bad management; V.
misconstrue,interpret incorrectly; misinterpret; misjudge
miscreant,wretch; wrongdoer; villain; Ex. kindness to the miscreant; CF. believe
misdemeanor,minor crime; misdeed; wrongdoing
miserly,stingy; mean
misgivings,doubts
mishap,unfortunate accident
misnomer,wrong or improper name; incorrect designation
misogamy,hatred of marriage
misogynist,hater of woman; CF. misogyny
missile,object to be thrown or projected
missive,letter; written statement; CF. sent
mite,very small object or insect-like creature; small coin
mitigate,appease; moderate; make or  become less in force or intensity
mnemonic,"pertaining to memory; assisting th e memory; N: device, such as as"
mobile,movable; not fixed; N. mobility
mock,ridicule; deride; imitate often in derision
mode,prevailing style; current fashion;  manner; way of doing something;
modicum,limited quantity; small amount; Ex. He does not have a modicum of
modish,fashionable; conforming to the current fashion
modulate,tone down in intensity; change th e intensity or tone of; regulate;
mogul,"powerful person; Ex. oil moguls; CF. Mogol, Moghul; CF. Mongolian"
molecule,the smallest particle (one or more atoms) of a substance that has all
mollify,soothe an angry person
mollycoddle,pamper; coddle; baby; indulge excessively
molt(moult),periodically shed or cast off hairs or feathers (for replacement by a new growth)
molten,melted; Ex. molten lava
momentous,very important; N. moment; CF. momentary
momentum,quantity of motion of a moving body; impetus; moving force
monarchy,government under a single ruler
monastic,related to monks or monast eries; removed from worldly concerns
monetary,pertaining to money
mongrel,plant or animal (esp. a dog) of mixed breed; ADJ.
monochromatic,having only one color
monochrome,painting in only one color; ADJ.
monogram,design composed of one or more initials of a name; V.
monograph,scholarly article
monolithic,solidly uniform; unchangeable; unyi elding; N. monolith: large block
monotheism,belief in one God
monotony,sameness leading to boredom; mo notonousness; ADJ. monotonous;
monumental,massive; impressively large; built as a monument
moodiness,fits of depression or gloom; ADJ. moody: given to changeable moods;
moratorium,legal delay of payment or action; Ex. declare moratorium on the building of new houses
morbid,given to unwholesome or unhealthy thought; moody; characteristic
mordant,biting; sarcastic; stinging; (apprec .) incisive; cutting; Ex. mordant
mores,conventions; moral standards; moral customs
morgue,mortuary; place where bodies are kept before burial or cremation
moribund,dying; at the point of death; CF. death
morose,ill-humored; su llen; sullenly melancholy
mortar,vessel in which substances are crushed with a pestle
mortician,undertaker; CF. death
mortify,humiliate by embarassing excessive ly; shame; punish the flesh;
mosaic,picture made of sma ll colorful inlaid tiles; ADJ.
mote,small speck (esp. of dust)
motif,theme; recurrent thematic element in a musical or literary work;
motility,ability to move spontaneously; ADJ. motile: moving spontaneously
motley,multi-colored (as of a garment worn by a jester); mixed;
mottled,blotched in coloring; spotted; Ex. mottled face; V. mottle: mark with
motto,brief statement used to express a principle
mountebank,charlatan; boastful pretender
muddle,confuse; mix up confusedly; N: state of confusion
muggy,(of weather) warm and damp
mulct,defraud a person of something; sw indle; Ex. mulct the boy of his
multifarious,varied; greatly diversified; Ex. multifarious activities
multiform,having many forms
multilingual,having many languages; fluent in several languages
multiplicity,state of being numerous or multiple; large number; Ex. multiplicity of details; ADJ. multiple: of more than one element
mundane,worldly as opposed to spiritual;  everyday; of the ordinary; Ex.
munificent,very generous in giving; Ex. munificent benefactor; N. munificience
mural,wall painting
murky,dark and gloomy; thick with fog; vague; Ex. murky night/fog; N.
murmur,"low, indistinct, continuous sound; V. CF. mumble"
muse,ponder at length; N: source of inspiration (esp. of a poet)
musky,having the odor of musk; N. musk: odorous substance secreted by an
muster,gather; assemble (troops); Ex. muster up one's strength for the
