Word,Meaning
sever,separate; cut off (a part) from a whole; break up (a relationship);
severity,harshness; intensity; sternness; austerity; ADJ. severe: harsh;
sextant,navigation tool used to determine a ship's latitude and longitude
shack,crude cabin
shackle,chain; fetter; con fine with shackles; N.
shade,slight difference in degree; nuance; degree of color; Ex. shades of meaning/grey
sham,pretend; feign; ADJ: not genuin e; fake; Ex. sham jewelry; N:
shambles,(place or scene of) complete diso rder or ruin; wreck; mess; Ex.
Shangri-la,imaginary remote paradise on earth; CF. Lost Horizon
shard,"fragment generally of broken pottery (glass, clay bowl, or cup)"
shaving,"very thin piece, usually of wood (cut from a surface with a sharp blade)"
sheaf,bundle of stalks of grain; any bundle of things tied together
shear,remove (fleece or hair) by cutting; remove the hair or fleece from; cut with or as if with shears ; N: shears; pair of scissors
sheathe,place into a case; insert into or provide with a sheath; Ex. He
shed,small roofed structure for storage and shelter; V: pour forth; lose
sheer,pure; thin and transparent; very steep
sherbet,flavored dessert ice
shift,change position or place; exchange (one thing) for another; change in direction or position; Ex. shift the stolen goods; N.
shimmer,shine with a flickering light; glimmer intermittently; Ex. The
shirk,"avoid (responsibility, work, etc.); malinger"
shoddy,made of inferior material; sham; not genuine; inferior; dishonest;
shoot,new growth from a plant
shove,push forward; push roughly; Ex. pushing and shoving to get on
shrew,scolding woman; very small mouselike animal
shrewd,clever; astute
shrivel,make or become shrunken and wrinkled (often by drying)
shudder,shake uncontrollably; tremble; V.
shuffle,mix together; jumble; move (something) from one place to another; slide (the feet) along the ground while walking; Ex. shuffle papers from one pile to another; N.
shun,keep away from; avoid deliberate ly; Ex. She has been shunned by
shunt,move (a railway train) from one track to another; turn aside; divert; sidetrack; Ex. shunt traffic around an accident; N.
shyster,lawyer using questionable methods; unscrupulous practioner
sibling,brother or sister
sibylline,prophetic; oracular; N. sibyl:  woman prophet (in the ancient
sidereal,relating to stars; Ex. sidereal day
sidetrack,switch (a railroad car) to a siding; divert from a main issue; N. CF. siding: short section of railroad track connected by switches with a main track
sift,put through a sieve to separate fine from coarse particles; sort or
significant,expressing a meaning; important; Ex. significant smile; N.
silt,sediment deposited by running water (at the entrance to a harbor or by a bend in a river)
simian,monkeylike; N: ape or monkey
simile,"comparison of one thing with another, using the word like or as"
simper,smirk; smile in a silly way; smile affectedly
simplistic,oversimplified
simulate,feign; imitate
sinecure,well- paid position with little res ponsibilit y; CF. sine cure: without
sinewy,(of meat) tough; strong and firm; muscular; N. sinew: tendon;
singular,being only one; individual; unique; extraordinary; odd; Ex.
sinister,evil; ominous
sinuous,twisting; winding; bendin g in and out; not morally honest
siren,apparatus for making sounds; womanlike creature
skeptic,sceptic; doubter; person who su spends judgment until he has
skiff,small light sailboat or rowboat
skim,read or glance through quickly; touch lightly in passing; brush;
skimp,provide or use scantily; live ve ry economically; Ex. skimp on
skinflint,miser; stingy person
skirmish,minor fight; mi nor battle in war; V.
skittish,inconstant; capricious; frivolous; not serious; Ex. charming but
skulduggery(skullduggery) dishonest behavior or,action; Ex. skulduggery in the election
skulk,move furtively and secretly; Ex. He skulked through the less
slack,moving slowly; sluggish; inactive ; (of a rope) loose; negligent;
slacken,slow up; loosen; make or become slack
slag,glassy residue from smel ting metal; dross; waste matter
slake,satisfy (thirst); quench; sate
slander,defamation; utterance of false and malicious statements; V. ADJ. slanderous
slap,hit quickly with the flat part of the hand; N. CF. smack
slapdash,hasty and careless; ha phazard; sloppy(carelessly done)
slaughter,killing of animals for food; massa cre; V: butcher (animals) for
slavish,of or like a slave; servile; sh owing no originality; copied very
sleazy,shabby and dirty; flimsy; insubs tantial; Ex. sleazy back-street
sledge,large sled drawn by work animals
sleek,smooth and shining (as from good health); V.
sleeper,one that achieves unexpected success; something originally of
sleigh,large vehicle drawn by a horse over snow or ice
sleight,dexterity; CF. sleight of hand: legerdemain; quickness of the
slew,large quantity or number; Ex. slew of errands left
slick,make smooth or glossy; N: smooth surface; Ex. oil slick; ADJ:
slight,insult to one's dignity; snub; V: treat as if of small importance;
slink,move furtively; ADJ. slinky: stealthy; furtive; sneaky (as in
slipshod,slovenly; careless; sloppy; untidy; shabby; Ex. slipshod work
slither,slip or slide
sloth,slow moving tree-dwelling mammal; laziness; ADJ. slothful: lazy; indolent
slough,(of a snake) shed or cast off (dead outer skin); N: outer layer that
slovenly,untidy; careless in work habits; slipshod; N. sloven: one who is
sluggard,lazy person
sluggish,lazy; slow; inactive; lethar gic; CF. slug: nail with no shell
sluice,artificial channel for directing or  controlling the flow of water
slur,pronounce indistinctly; speak indistinctly; mumble
sly,clever in deceiving; secretive; not telling one's intentions
smart,intelligent; quick and energetic; fashionable; Ex. smart
pace/restaurant; V: cause or feel,a sharp pain; N: smarting pain
smattering,slight knowledge; small scattered number or amount; Ex.
smear,spread or cover with a sticky substance; N: mark made by
smelt,melt (ore) for separating and removing the metal; melt or blend
smirk,conceited smile; offensively self-satisfied smile (often at someone
smolder,smoulder; burn slowly without flame; be liable to break out at
smother,kill from lack of air; suppress; cover thickly; Ex. smothered in
smudge,dirty mark with unclear edges made by rubbing; V.
smug,self-satisfied; complacent
sneak,"move, give, or take in a quiet, stealthy way; N: one who sneaks;"
snicker,half-stifled(suppressed) laugh; V.
snip,short quick cut with sc issors; V: cut with scissors
snivel,complain or whine tearfully; run at the nose; snuffle; Ex. Don't
snub,ignore or behave coldly toward; Ex. I made a suggestion but she
snuffle,sniffle; sniff repeatedly (in order to keep liquid from running out
soar,rise or fly high in the air; Ex. The rocket soared into the sky.
sober,serious; solemn; not drunken; abst emious or temperate; V: make
sobriety,moderation (especially regarding indulgence in alcohol); seriousness
sodden,thoroughly soaked; dull or stupid as if from drink
sojourn,temporary stay; V: stay for a time
solace,comfort in sorrow or trouble; consolation; V: comfort or console in time of sorrow or trouble
solder,repair or make whole by using a metal alloy; N: metal alloy
solecism,nonstandard grammatical construction; construction that is flagrantly incorrect grammatically; violation of social etiquette
solemnity,seriousness; gravity
solicit,entreat; request earnestly; seek to obtain; Ex. solicit votes; CF.
solicitor,lawyer in the lower court of law
solicitous,anxious; worried; concerned; eager; Ex. solicitous to do something; N. solicitude
soliloquy,talking to oneself (esp. in a play);  CF. monologue: soliloquy; long
solitude,state of being alone; seclusion; ADJ. solitary: existing or living alone (esp. by choice); remote or secluded; single; sole; Ex.
solstice,point or time at which th e sun is farthest from the equator
soluble,able to be dissolved in a liqu id; able to be worked out or solved
solvent,substance that dissolves another; ADJ: capable of dissolving another substance
somatic,pertaining to the body; bodily; physical
somber,dark; gloomy; melancholy; depressing; CF. shadow
somnambulist,sleepwalker; V. somnambulate; N. somnambulism
somnolent,half asleep; drowsy; N. somnolence
sonic,"of sound or its speed in air; CF. subsonic, supersonic"
sonnet,14-line poetic verse form with a fixed rhyme pattern
sonorous,resonant; producing a full deep sound; producing sound
soothsayer,one who foretells the future
sophist,teacher of philoso phy; quibbler; em ployer of fallacious reasonin g;
sophisticated,worldly wise and urbane; refined;  complex; N. sophistication; V.
sophistry,seemingly plausible but fallacious reasoning; sophism
sophomoric,immature; half-baked; like a sophomore
soporific,sleep-causing; marked by sleepiness; drowsy
sordid,filthy; foul; base; vile; Ex. sordid bed/story
sound,in good condition; showing good judgment or good sense;
sour,having a sharp or acid ta ste; acid; tart; bad-tempered; V.
sovereign,ruler in a monarchy; ADJ: (of a country) independent and self-governing; having supreme power; supreme; excellent
sovereignty,complete independence and self-government (of a country);
sow,plant or scatter seed
spangle,small shiny metallic piece sewn to clothing for ornamentation
spare,give; use; refrain from harming; save from experiencing; exempt;
sparse,not thick; thinly scattered; scanty
Spartan,without attention to comfort; lacking luxury and comfort; sternly disciplined; Ex. spartan living condition/life
spasmodic,fitful; periodic; of or like a spasm; N. spasm: sudden involuntary muscular contraction; sudden burst of energy or emotion
spat,squabble; minor dispute; minor quarrel
spate,sudden flood or rush; Ex. spate of accidents
spatial,relating to space
spatula,broad-bladed instrument used for spreading or mixing
spawn,lay eggs (in large numbers); produce offspring (in large numbers); N: eggs of aquatic animals
specious,seemingly reasonable but incorrect; misleading (often intentionally)
speck,small piece or mark; Ex . speck of dust in the eye
spectral,ghostly; N. specte r: spectre; ghost; phantom
spectrum,colored band produced when a beam of light passes through a prism; broad and continuous range; Ex. whole spectrum of
speechless,unable for the moment to speak (because of strong feeling); Ex.
spendthrift,someone who wastes mone y; CF. thrift: accumulated wealth
sphinx-like,enigmatic; mysterious
spin,"rotate swiftly; make (thread) by twisting (cotton, wool, etc.); N."
splice,join together end to end to make one continuous length; fasten together; unite; Ex. splice two strips of tape; N.
spoilsport,one who spoils the pleasure of others
spontaneity,lack of premeditation; naturalness; freedom from constraint; ADJ. spontaneous: self-generated; unpremeditated; happening without being planned
spoof,parody
spoonerism,accidental transposition of sounds  in successive words; Ex. ``Let
sporadic,occurring irregularly; intermittent
sportive,playful; frolicsome; merry; CF. sport: play or frolic; CF. sportsmanlike
sprout,begin to grow; give off shoots or buds; N: new growth on a plant; shoot
spruce,neat and trim in appearance; smart; Ex. Be spruce for your job interview; V.
spry,(esp. of older people ) vigorously active; nimble
spurious,false; counterfeit; forged ; illogical; Ex. spurious arguments
spurn,reject disdainfully; scorn; Ex. She spurned all offers of help.
squabble,minor quarrel; bickering; V: en gage in a minor quarrel; Ex.
squalor,condition of being squalid; filt h; degradation; dirty neglected
squander,waste; spend foolishly
squash,crush; quash; suppress
squat,short and thick; stocky; Ex. ugly squat tower; V. N.
squeamish,easily shocked or sickened by unpleasant things; fastidious; Ex. A nurse should not be squeamish.
squelch,produce a splashing sound (when stepping through mud); crush;
staccato,played in an abrupt manner; marked by abrupt sharp sound; Ex. staccato applause
stagnant,(of water) not flowing (often bad-sm elling); motionless; stale; not
staid,serious and sedate; sober; Ex . staid during the funeral ceremony
